Date	Time	SMD_obs	SMD_mod
01/01/2025	00:00:00	4.8375	2.04557
01/01/2025	00:30:00	4.8375	2.0513
01/01/2025	01:00:00	4.8375	2.05699
01/01/2025	01:30:00	4.8375	2.06265
01/01/2025	02:00:00	4.8375	2.06828
01/01/2025	02:30:00	4.8375	2.07388
01/01/2025	03:00:00	4.8375	2.07945
01/01/2025	03:30:00	4.8375	2.08499
01/01/2025	04:00:00	4.8375	2.0905
01/01/2025	04:30:00	4.8375	2.09598
01/01/2025	05:00:00	4.8375	2.10143
01/01/2025	05:30:00	4.8375	2.10684
01/01/2025	06:00:00	4.8375	2.11223
01/01/2025	06:30:00	4.8375	2.11759
01/01/2025	07:00:00	4.8375	2.12292
01/01/2025	07:30:00	4.8375	2.12822
01/01/2025	08:00:00	4.8375	2.13348
01/01/2025	08:30:00	4.8375	2.13872
01/01/2025	09:00:00	4.8375	2.14394
01/01/2025	09:30:00	4.8375	2.14912
01/01/2025	10:00:00	4.8375	2.15427
01/01/2025	10:30:00	4.8375	2.1594
01/01/2025	11:00:00	4.8375	2.16449
01/01/2025	11:30:00	4.8375	2.16956
01/01/2025	12:00:00	4.8375	2.1746
01/01/2025	12:30:00	4.8375	2.17962
01/01/2025	13:00:00	4.6875	2.18487
01/01/2025	13:30:00	4.8375	2.19007
01/01/2025	14:00:00	4.8375	2.19519
01/01/2025	14:30:00	4.8375	2.20022
01/01/2025	15:00:00	4.8375	2.20509
01/01/2025	15:30:00	4.8375	2.20994
01/01/2025	16:00:00	4.8375	2.21476
01/01/2025	16:30:00	4.8375	2.21956
01/01/2025	17:00:00	4.8375	2.22433
01/01/2025	17:30:00	4.8375	2.22907
01/01/2025	18:00:00	4.8375	2.23379
01/01/2025	18:30:00	4.8375	2.23848
01/01/2025	19:00:00	4.8375	2.24314
01/01/2025	19:30:00	4.8375	2.24778
01/01/2025	20:00:00	4.8375	2.2524
01/01/2025	20:30:00	4.8375	2.25698
01/01/2025	21:00:00	4.8375	2.26155
01/01/2025	21:30:00	4.8375	2.26608
01/01/2025	22:00:00	4.8375	2.27059
01/01/2025	22:30:00	4.8375	2.27508
01/01/2025	23:00:00	4.8375	2.27954
01/01/2025	23:30:00	4.8375	2.28398
01/02/2025	00:00:00	4.5	0.548254
01/02/2025	00:30:00	4.5	0.548791
01/02/2025	01:00:00	4.5	0.549326
01/02/2025	01:30:00	4.5	0.549859
01/02/2025	02:00:00	4.5	0.550391
01/02/2025	02:30:00	4.5	0.550922
01/02/2025	03:00:00	4.5	0.551451
01/02/2025	03:30:00	4.4625	0.551978
01/02/2025	04:00:00	4.5	0.552504
01/02/2025	04:30:00	4.5	0.553028
01/02/2025	05:00:00	4.5	0.55355
01/02/2025	05:30:00	4.5	0.554071
01/02/2025	06:00:00	4.5	0.55459
01/02/2025	06:30:00	4.5	0.555107
01/02/2025	07:00:00	4.4625	0.555622
01/02/2025	07:30:00	4.5	0.556136
01/02/2025	08:00:00	4.4625	0.556648
01/02/2025	08:30:00	4.5	0.557157
01/02/2025	09:00:00	4.4625	0.557666
01/02/2025	09:30:00	4.4625	0.558172
01/02/2025	10:00:00	4.4625	0.558676
01/02/2025	10:30:00	4.4625	0.559178
01/02/2025	11:00:00	4.4625	0.559679
01/02/2025	11:30:00	4.4625	0.560177
01/02/2025	12:00:00	4.4625	0.560673
01/02/2025	12:30:00	4.5	0.561168
01/02/2025	13:00:00	4.4625	0.56166
01/02/2025	13:30:00	4.4625	0.56215
01/02/2025	14:00:00	4.4625	0.562639
01/02/2025	14:30:00	4.4625	0.563288
01/02/2025	15:00:00	4.4625	0.563883
01/02/2025	15:30:00	4.4625	0.564362
01/02/2025	16:00:00	4.4625	0.564839
01/02/2025	16:30:00	4.4625	0.565314
01/02/2025	17:00:00	4.4625	0.565787
01/02/2025	17:30:00	4.4625	0.566258
01/02/2025	18:00:00	4.5	0.566727
